runid,subid,locations,slice,shots,mode,iterations,gray,hot_start,gradient_type,formulation,alpha,big_a,c,eta,gamma,s,print_frequency,cache_max_size,elapsed,hot_start_dist,hot_start_cost,best_dist_found,best_dist,iteration_found,cache_items,cache_hits,cache_misses
20250216-14-30-52,14-30-52,5,1,1024,2,50,True,True,SPSA,new,0.602,50,0.314,0.02,0.101,0.5,50,500000,2.5504822731018066,21.0,21.0,19.0,19,4,128,7979,128
20250216-14-30-52,14-30-55,5,1,1024,2,50,False,True,SPSA,new,0.602,50,0.314,0.02,0.101,0.5,50,500000,2.4143972396850586,21.0,21.0,19.0,19,2,108,3854,108
20250216-14-30-52,14-30-57,5,1,1024,2,50,True,False,SPSA,new,0.602,50,0.314,0.02,0.101,0.5,50,500000,2.4094367027282715,21.0,21.0,19.0,19,7,105,2977,105
20250216-14-30-52,14-30-59,5,1,1024,2,50,False,False,SPSA,new,0.602,50,0.314,0.02,0.101,0.5,50,500000,2.4189655780792236,21.0,21.0,19.0,19,11,102,3003,102
20250216-14-30-52,14-31-02,5,1,1024,2,50,True,True,SPSA,original,0.602,50,0.314,0.02,0.101,0.5,50,500000,2.287933111190796,21.0,21.0,19.0,19,7,31,2022,31
20250216-14-30-52,14-31-04,5,1,1024,2,50,False,True,SPSA,original,0.602,50,0.314,0.02,0.101,0.5,50,500000,2.3069493770599365,21.0,21.0,19.0,19,4,32,1933,32
20250216-14-30-52,14-31-07,5,1,1024,2,50,True,False,SPSA,original,0.602,50,0.314,0.02,0.101,0.5,50,500000,2.328989028930664,21.0,21.0,19.0,19,8,32,1930,32
20250216-14-30-52,14-31-09,5,1,1024,2,50,False,False,SPSA,original,0.602,50,0.314,0.02,0.101,0.5,50,500000,2.4720351696014404,21.0,21.0,19.0,19,1,32,5932,32
