runid,subid,locations,slice,shots,mode,iterations,gray,hot_start,gradient_type,formulation,alpha,big_a,c,eta,gamma,s,print_frequency,cache_max_size,elapsed,hot_start_dist,best_dist_found,best_dist,iteration_found,cache_items,cache_hits,cache_misses
20250216-15-55-42,15-55-42,4,1,1024,2,50,True,True,SPSA,new,0.602,50,0.314,0.02,0.101,0.5,50,500000,2.2959868907928467,21.0,21.0,21,0,32,1999,32
20250216-15-55-42,15-55-44,4,1,1024,2,50,True,False,SPSA,new,0.602,50,0.314,0.02,0.101,0.5,50,500000,2.2243783473968506,21.0,21.0,21,0,31,1963,31
