runid,subid,locations,slice,shots,mode,iterations,gray,hot_start,gradient_type,formulation,alpha,big_a,c,eta,gamma,s,print_frequency,cache_max_size,elapsed,hot_start_dist,hot_start_cost,best_dist_found,best_dist,iteration_found,cache_items,cache_hits,cache_misses
20250216-14-27-35,14-27-35,5,1,1024,2,50,True,True,SPSA,new,0.602,50,0.314,0.02,0.101,0.5,50,500000,2.454108476638794,21.0,21.0,19.0,19,8,96,2818,96
20250216-14-27-35,14-27-38,5,1,1024,2,50,False,True,SPSA,new,0.602,50,0.314,0.02,0.101,0.5,50,500000,2.450810194015503,21.0,21.0,19.0,19,11,99,3181,99
20250216-14-27-35,14-27-40,5,1,1024,2,50,True,False,SPSA,new,0.602,50,0.314,0.02,0.101,0.5,50,500000,2.602476119995117,21.0,21.0,19.0,19,3,128,13655,128
20250216-14-27-35,14-27-43,5,1,1024,2,50,False,False,SPSA,new,0.602,50,0.314,0.02,0.101,0.5,50,500000,2.4474077224731445,21.0,21.0,19.0,19,16,99,2807,99
