runid,subid,locations,slice,shots,mode,iterations,gray,hot_start,gradient_type,formulation,alpha,big_a,c,eta,gamma,s,print_frequency,cache_max_size,elapsed,hot_start_dist,hot_start_cost,best_dist_found,best_dist,iteration_found,cache_items,cache_hits,cache_misses
20250216-14-35-53,14-35-53,11,1,1024,2,50,True,True,SPSA,new,0.602,50,0.314,0.02,0.101,0.5,50,500000,396.1662676334381,299.0,299.0,264.0,253,8,4811,19294,4811
20250216-14-35-53,14-42-31,11,1,1024,2,50,False,True,SPSA,new,0.602,50,0.314,0.02,0.101,0.5,50,500000,402.63389229774475,299.0,299.0,256.0,253,36,7719,25923,7719
20250216-14-35-53,14-49-16,11,1,1024,2,50,True,False,SPSA,new,0.602,50,0.314,0.02,0.101,0.5,50,500000,400.48497128486633,299.0,299.0,256.0,253,3,92010,79600,92010
20250216-14-35-53,14-55-58,11,1,1024,2,50,False,False,SPSA,new,0.602,50,0.314,0.02,0.101,0.5,50,500000,400.9332013130188,299.0,299.0,264.0,253,9,4571,17879,4571
20250216-14-35-53,15-02-41,11,1,1024,2,50,True,True,SPSA,original,0.602,50,0.314,0.02,0.101,0.5,50,500000,225.01427340507507,299.0,299.0,259.0,253,30,200172,1711,200172
20250216-14-35-53,15-06-27,11,1,1024,2,50,False,True,SPSA,original,0.602,50,0.314,0.02,0.101,0.5,5011,500000,216.2785575389862,299.0,299.0,256.0,253,17,69056,74106,69056
